Timestamp,Gmtoffset,Datetime,Open,High,Low,Close,Volume
1558726620,-7.0,2019-05-24 12:37:00,16.06,16.06,16.0599,16.0599,4650
1559137200,-7.0,2019-05-29 06:40:00,15.394,15.394,15.394,15.394,1550
1559244000,-7.0,2019-05-30 12:20:00,15.48,15.49,15.48,15.49,300
1559245200,-7.0,2019-05-30 12:40:00,15.5,15.5,15.49,15.49,200
1559245500,-7.0,2019-05-30 12:45:00,15.48,15.49,15.48,15.49,300
1559245560,-7.0,2019-05-30 12:46:00,15.48,15.48,15.48,15.48,100
1559245620,-7.0,2019-05-30 12:47:00,15.49,15.49,15.49,15.49,100
1559245680,-7.0,2019-05-30 12:48:00,15.48,15.48,15.48,15.48,200
1559245740,-7.0,2019-05-30 12:49:00,15.49,15.49,15.48,15.48,400
1559245800,-7.0,2019-05-30 12:50:00,15.48,15.48,15.48,15.48,100
1559246340,-7.0,2019-05-30 12:59:00,15.44,15.45,15.44,15.45,300
1559330100,-7.0,2019-05-31 12:15:00,15.37,15.37,15.37,15.37,300
1559330880,-7.0,2019-05-31 12:28:00,15.35,15.35,15.35,15.35,100
1559331180,-7.0,2019-05-31 12:33:00,15.34,15.34,15.34,15.34,100
1559331660,-7.0,2019-05-31 12:41:00,15.37,15.37,15.36,15.36,200
1559332080,-7.0,2019-05-31 12:48:00,15.37,15.37,15.37,15.37,100
1560193800,-7.0,2019-06-10 12:10:00,15.6414,15.6499,15.6414,15.6499,300
1561492680,-7.0,2019-06-25 12:58:00,15.51,15.51,15.51,15.51,5000
1561578720,-7.0,2019-06-26 12:52:00,15.63,15.63,15.63,15.63,200
1562173800,-7.0,2019-07-03 10:10:00,15.9548,15.9548,15.9548,15.9548,
1562182200,-7.0,2019-07-03 12:30:00,15.9548,15.9548,15.9548,15.9548,
1570115460,-7.0,2019-10-03 08:11:00,14.39,14.39,14.39,14.39,5000
1573224000,-8.0,2019-11-08 06:40:00,13.39,13.39,13.39,13.39,200
1574451720,-8.0,2019-11-22 11:42:00,13.1956,13.1956,13.1956,13.1956,1250
1574706420,-8.0,2019-11-25 10:27:00,13.19,13.19,13.19,13.19,200
1574712540,-8.0,2019-11-25 12:09:00,13.22,13.22,13.22,13.22,100
1574713440,-8.0,2019-11-25 12:24:00,13.22,13.22,13.22,13.22,100
1574778600,-8.0,2019-11-26 06:30:00,13.39,13.39,13.39,13.39,512
1574788740,-8.0,2019-11-26 09:19:00,13.18,13.18,13.17,13.17,200
1574865000,-8.0,2019-11-27 06:30:00,12.73,12.73,10.32,10.32,400
1574865060,-8.0,2019-11-27 06:31:00,12.7465,12.7465,12.7465,12.7465,100
1575051000,-8.0,2019-11-29 10:10:00,12.6886,12.6886,12.6886,12.6886,
1575059400,-8.0,2019-11-29 12:30:00,12.6886,12.6886,12.6886,12.6886,
1575306540,-8.0,2019-12-02 09:09:00,12.59,12.59,12.59,12.59,200
1575575820,-8.0,2019-12-05 11:57:00,12.53,12.53,12.53,12.53,900
1576004100,-8.0,2019-12-10 10:55:00,13.19,13.19,13.19,13.19,1178
1576771500,-8.0,2019-12-19 08:05:00,13.68,13.68,13.674,13.674,276
1576771860,-8.0,2019-12-19 08:11:00,13.69,13.69,13.69,13.69,152
1576773180,-8.0,2019-12-19 08:33:00,13.6948,13.6948,13.6948,13.6948,634
1576787220,-8.0,2019-12-19 12:27:00,13.685,13.6899,13.685,13.6899,717
1577115900,-8.0,2019-12-23 07:45:00,13.82,13.82,13.82,13.82,200
1577199900,-8.0,2019-12-24 07:05:00,13.79,13.79,13.79,13.79,200
1577199960,-8.0,2019-12-24 07:06:00,13.79,13.8,13.79,13.8,255
1577211000,-8.0,2019-12-24 10:10:00,13.8424,13.8424,13.8424,13.8424,
1577219400,-8.0,2019-12-24 12:30:00,13.8424,13.8424,13.8424,13.8424,
1577383620,-8.0,2019-12-26 10:07:00,14,14,14,14,200
1577383740,-8.0,2019-12-26 10:09:00,13.98,13.98,13.98,13.98,500
1577996340,-8.0,2020-01-02 12:19:00,13.89,13.89,13.89,13.89,600
1578340080,-8.0,2020-01-06 11:48:00,14.26,14.26,14.26,14.26,500
1578422580,-8.0,2020-01-07 10:43:00,14.26,14.26,14.26,14.26,1110
1578669960,-8.0,2020-01-10 07:26:00,14.08,14.08,14.08,14.08,602
1579025220,-8.0,2020-01-14 10:07:00,14.29,14.29,14.29,14.29,1200
1579112280,-8.0,2020-01-15 10:18:00,14.3,14.3,14.3,14.3,1200
1579285980,-8.0,2020-01-17 10:33:00,14.29,14.29,14.29,14.29,10892
1579289400,-8.0,2020-01-17 11:30:00,14.27,14.29,14.27,14.29,263242
1579621740,-8.0,2020-01-21 07:49:00,14.065,14.065,14.065,14.065,7948
1579720560,-8.0,2020-01-22 11:16:00,13.7101,13.717,13.71,13.717,10974
1579807320,-8.0,2020-01-23 11:22:00,13.64,13.64,13.64,13.64,1381
1579810560,-8.0,2020-01-23 12:16:00,13.69,13.695,13.69,13.695,17967
1579889880,-8.0,2020-01-24 10:18:00,13.4642,13.4642,13.4642,13.4642,107
1580156880,-8.0,2020-01-27 12:28:00,13.2101,13.2101,13.2101,13.2101,146
1580239800,-8.0,2020-01-28 11:30:00,13.2713,13.2713,13.2713,13.2713,683
1580401560,-8.0,2020-01-30 08:26:00,13.0599,13.0599,13.0599,13.0599,463
1580413380,-8.0,2020-01-30 11:43:00,13,13,13,13,168
1580481000,-8.0,2020-01-31 06:30:00,12.94,12.94,12.94,12.94,328
1580482200,-8.0,2020-01-31 06:50:00,13.15,13.15,13.15,13.15,6400
1580482620,-8.0,2020-01-31 06:57:00,13.16,13.16,13.16,13.16,5000
1580482920,-8.0,2020-01-31 07:02:00,13.14,13.14,13.14,13.14,132
1580486220,-8.0,2020-01-31 07:57:00,13.0201,13.0201,13.02,13.02,5000
1580486520,-8.0,2020-01-31 08:02:00,13.02,13.02,13.02,13.02,100
1580486580,-8.0,2020-01-31 08:03:00,13.02,13.02,13.02,13.02,5000
1580488500,-8.0,2020-01-31 08:35:00,13,13,13,13,2400
1580488560,-8.0,2020-01-31 08:36:00,13,13.04,13,13.04,7700
1580495340,-8.0,2020-01-31 10:29:00,12.9401,12.9401,12.9401,12.9401,5000
1580497800,-8.0,2020-01-31 11:10:00,12.94,12.94,12.94,12.94,100
1580499060,-8.0,2020-01-31 11:31:00,12.98,12.98,12.98,12.98,5000
1580499120,-8.0,2020-01-31 11:32:00,13,13,13,13,5000
1580499300,-8.0,2020-01-31 11:35:00,13.01,13.01,13.01,13.01,4810
1580745300,-8.0,2020-02-03 07:55:00,12.97,12.97,12.97,12.97,400
1580750820,-8.0,2020-02-03 09:27:00,12.9,12.9,12.9,12.9,300
1580751060,-8.0,2020-02-03 09:31:00,12.8935,12.8935,12.8935,12.8935,7463
1580752200,-8.0,2020-02-03 09:50:00,12.9,12.9,12.9,12.9,100
1580756160,-8.0,2020-02-03 10:56:00,12.92,12.92,12.92,12.92,200
1580756220,-8.0,2020-02-03 10:57:00,12.9164,12.9164,12.9164,12.9164,1519
1580849220,-8.0,2020-02-04 12:47:00,13.06,13.06,13.06,13.06,400
1580923920,-8.0,2020-02-05 09:32:00,13.25,13.25,13.25,13.25,126
1581006060,-8.0,2020-02-06 08:21:00,13.14,13.16,13.14,13.16,1300
1581006660,-8.0,2020-02-06 08:31:00,13.153,13.153,13.15,13.1501,2982
1581092400,-8.0,2020-02-07 08:20:00,12.92,12.92,12.92,12.92,100
1581094980,-8.0,2020-02-07 09:03:00,12.98,12.98,12.98,12.98,646
1581099120,-8.0,2020-02-07 10:12:00,12.96,12.96,12.96,12.96,200
1581101460,-8.0,2020-02-07 10:51:00,12.96,12.96,12.96,12.96,100
1581103320,-8.0,2020-02-07 11:22:00,12.9,12.9,12.9,12.9,100
1581449880,-8.0,2020-02-11 11:38:00,12.7473,12.7473,12.7473,12.7473,102
1581523080,-8.0,2020-02-12 07:58:00,12.98,12.98,12.98,12.98,100
1581613140,-8.0,2020-02-13 08:59:00,12.9999,12.9999,12.9999,12.9999,229
1581622860,-8.0,2020-02-13 11:41:00,12.9333,12.9333,12.9333,12.9333,115
1581696120,-8.0,2020-02-14 08:02:00,12.9246,12.9246,12.9246,12.9246,2224
1581697800,-8.0,2020-02-14 08:30:00,12.91,12.91,12.91,12.91,100
1582047420,-8.0,2020-02-18 09:37:00,12.9178,12.9178,12.9178,12.9178,780
1582055340,-8.0,2020-02-18 11:49:00,12.9,12.9,12.9,12.9,100
1582055400,-8.0,2020-02-18 11:50:00,12.94,12.94,12.94,12.94,2300
1582132140,-8.0,2020-02-19 09:09:00,12.86,12.86,12.86,12.86,800
1582132200,-8.0,2020-02-19 09:10:00,12.86,12.86,12.86,12.86,400
1582134780,-8.0,2020-02-19 09:53:00,12.85,12.85,12.85,12.85,1000
1582134900,-8.0,2020-02-19 09:55:00,12.86,12.86,12.86,12.86,100
1582135020,-8.0,2020-02-19 09:57:00,12.87,12.87,12.87,12.87,800
1582137240,-8.0,2020-02-19 10:34:00,12.87,12.87,12.87,12.87,800
